id, location, age, rating, course_title, course_id, course_teacher, year_of_initiation
1, Kathmandu, 18, 4.2, Introduction to Data Science, DS101, Dr. Lama, 2023
2, Kathmandu, 23, 4.5, Python Programming for Beginners, PY201, Prof. Gurung, 2022
3, Pokhara, 28, 4.7, Data Analysis with Python, DA301, Dr. Thapa, 2021
4, Nepalgunj, 32, 4.0, Machine Learning Applications, ML401, Prof. Bhattarai, 2022
5, Biratnagar, 24, 4.8, Web Development with JavaScript, WD501, Dr. Subedi, 2023
6, Lalitpur, 26, 4.6, Introduction to Cybersecurity, CS601, Prof. Gautam, 2021
7, Bhaktapur, 29, 4.3, Deep Learning Fundamentals, DL701, Dr. Khadka, 2022
8, Kathmandu, 17, 4.6, Artificial Intelligence Ethics, AI801, Prof. Shrestha, 2023
9, Kathmandu, 22, 4.1, Natural Language Processing, NLP901, Dr. Joshi, 2021
10, Pokhara, 30, 4.9, Computer Vision Basics, CV1001, Prof. Acharya, 2022
11, Bhaktapur, 35, 4.4, Introduction to Blockchain, BC101, Dr. Shah, 2023
12, Biratnagar, 19, 4.7, Introduction to Cloud Computing, CC201, Prof. Basnet, 2021
13, Lalitpur, 21, 4.5, Data Mining Techniques, DM301, Dr. Tamang, 2022
14, Bhaktapur, 27, 4.2, Internet of Things Fundamentals, IoT401, Prof. Thapa, 2023
15, Kathmandu, 36, 4.8, Software Engineering Principles, SE501, Dr. Lama, 2021
16, Kathmandu, 37, 4.3, Big Data Analytics, BDA601, Prof. Gurung, 2022
17, Pokhara, 31, 4.6, Cloud Security Fundamentals, CSF701, Dr. Thapa, 2023
18, Bhaktapur, 38, 4.0, DevOps Essentials, DO901, Prof. Bhattarai, 2021
19, Biratnagar, 33, 4.5, UX/UI Design Principles, UXD101, Dr. Subedi, 2022
20, Lalitpur, 20, 4.2, Agile Methodologies, AM201, Prof. Gautam, 2023
21, Bhaktapur, 25, 4.7, Data Warehousing Concepts, DWC301, Dr. Khadka, 2021
22, Kathmandu, 28, 4.9, Ethical Hacking Techniques, EHT401, Prof. Shrestha, 2022
23, Pokhara, 34, 4.4, Mobile App Development, MAD501, Dr. Joshi, 2023
24, Lalitpur, 39, 4.8, Quantum Computing Fundamentals, QCF601, Prof. Acharya, 2021
25, Kathmandu, 16, 4.3, Robotics and Automation, RA701, Dr. Shah, 2022
26, Biratnagar, 24, 4.6, Introduction to 5G Technology, 5GT801, Prof. Basnet, 2023
27, Lalitpur, 29, 4.1, Game Development Basics, GDB901, Dr. Tamang, 2021
28, Bhaktapur, 31, 4.7, Virtual Reality Fundamentals, VRF101, Prof. Thapa, 2022
29, Kathmandu, 20, 4.5, Cryptocurrency Fundamentals, CF201, Dr. Lama, 2023
30, Kathmandu, 22, 4.2, Network Security Principles, NSP301, Prof. Gurung, 2021
31, Pokhara, 37, 4.9, Augmented Reality Applications, ARA401, Dr. Thapa, 2022
32, Bhaktapur, 38, 4.4, Data Science Capstone Project, DSC501, Prof. Bhattarai, 2023
33, Biratnagar, 19, 4.7, Cloud-Native Architecture, CNA601, Dr. Subedi, 2021
34, Lalitpur, 23, 4.3, Database Management Systems, DBMS701, Prof. Gautam, 2022
35, Bhaktapur, 25, 4.8, Parallel Computing Concepts, PCC901, Dr. Khadka, 2023
36, Kathmandu, 37, 4.0, Introduction to Quantum Cryptography, QC101, Prof. Shrestha, 2021
37, Kathmandu, 38, 4.5, Artificial Intelligence for Healthcare, AIH201, Dr. Joshi, 2022
38, Pokhara, 18, 4.9, Data Privacy and Security, DPS301, Prof. Acharya, 2023
39, Bhaktapur, 26, 4.4, Cloud-Native Development, CND401, Dr. Shah, 2021
40, Biratnagar, 30, 4.7, Embedded Systems Design, ESD501, Prof. Basnet, 2022
41, Lalitpur, 35, 4.2, Quantum Machine Learning, QML601, Dr. Tamang, 2023
42, Bhaktapur, 32, 4.6, Human-Computer Interaction, HCI701, Prof. Thapa, 2021
43, Kathmandu, 22, 4.3, Cyber-Physical Systems, CPS901, Dr. Lama, 2022
44, Kathmandu, 18, 4.2, Introduction to Data Science, DS101, Dr. Lama, 2023
45, Kathmandu, 23, 4.5, Python Programming for Beginners, PY201, Prof. Gurung, 2022
46, Pokhara, 28, 4.7, Data Analysis with Python, DA301, Dr. Thapa, 2021
47, Nepalgunj, 32, 4.0, Machine Learning Applications, ML401, Prof. Bhattarai, 2022
48, Biratnagar, 24, 4.8, Web Development with JavaScript, WD501, Dr. Subedi, 2023
49, Lalitpur, 26, 4.6, Introduction to Cybersecurity, CS601, Prof. Gautam, 2021
50, Bhaktapur, 29, 4.3, Deep Learning Fundamentals, DL701, Dr. Khadka, 2022
51, Kathmandu, 17, 4.6, Artificial Intelligence Ethics, AI801, Prof. Shrestha, 2023
52, Kathmandu, 22, 4.1, Natural Language Processing, NLP901, Dr. Joshi, 2021
53, Pokhara, 30, 4.9, Computer Vision Basics, CV1001, Prof. Acharya, 2022
54, Bhaktapur, 35, 4.4, Introduction to Blockchain, BC101, Dr. Shah, 2023
55, Biratnagar, 19, 4.7, Introduction to Cloud Computing, CC201, Prof. Basnet, 2021
56, Lalitpur, 21, 4.5, Data Mining Techniques, DM301, Dr. Tamang, 2022
57, Bhaktapur, 27, 4.2, Internet of Things Fundamentals, IoT401, Prof. Thapa, 2023
58, Kathmandu, 36, 4.8, Software Engineering Principles, SE501, Dr. Lama, 2021
59, Kathmandu, 37, 4.3, Big Data Analytics, BDA601, Prof. Gurung, 2022
60, Pokhara, 31, 4.6, Cloud Security Fundamentals, CSF701, Dr. Thapa, 2023
61, Bhaktapur, 38, 4.0, DevOps Essentials, DO901, Prof. Bhattarai, 2021
62, Biratnagar, 33, 4.5, UX/UI Design Principles, UXD101, Dr. Subedi, 2022
63, Lalitpur, 20, 4.2, Agile Methodologies, AM201, Prof. Gautam, 2023
64, Bhaktapur, 25, 4.7, Data Warehousing Concepts, DWC301, Dr. Khadka, 2021
65, Kathmandu, 28, 4.9, Ethical Hacking Techniques, EHT401, Prof. Shrestha, 2022
66, Pokhara, 34, 4.4, Mobile App Development, MAD501, Dr. Joshi, 2023
67, Lalitpur, 39, 4.8, Quantum Computing Fundamentals, QCF601, Prof. Acharya, 2021
68, Kathmandu, 16, 4.3, Robotics and Automation, RA701, Dr. Shah, 2022
69, Biratnagar, 24, 4.6, Introduction to 5G Technology, 5GT801, Prof. Basnet, 2023
70, Lalitpur, 29, 4.1, Game Development Basics, GDB901, Dr. Tamang, 2021
71, Bhaktapur, 31, 4.7, Virtual Reality Fundamentals, VRF101, Prof. Thapa, 2022
72, Kathmandu, 20, 4.5, Cryptocurrency Fundamentals, CF201, Dr. Lama, 2023
73, Kathmandu, 22, 4.2, Network Security Principles, NSP301, Prof. Gurung, 2021
74, Pokhara, 37, 4.9, Augmented Reality Applications, ARA401, Dr. Thapa, 2022
75, Bhaktapur, 38, 4.4, Data Science Capstone Project, DSC501, Prof. Bhattarai, 2023
76, Biratnagar, 19, 4.7, Cloud-Native Architecture, CNA601, Dr. Subedi, 2021
77, Lalitpur, 23, 4.3, Database Management Systems, DBMS701, Prof. Gautam, 2022
78, Bhaktapur, 25, 4.8, Parallel Computing Concepts, PCC901, Dr. Khadka, 2023
79, Kathmandu, 37, 4.0, Introduction to Quantum Cryptography, QC101, Prof. Shrestha, 2021
80, Kathmandu, 38, 4.5, Artificial Intelligence for Healthcare, AIH201, Dr. Joshi, 2022
81, Pokhara, 18, 4.9, Data Privacy and Security, DPS301, Prof. Acharya, 2023
82, Bhaktapur, 26, 4.4, Cloud-Native Development, CND401, Dr. Shah, 2021
83, Biratnagar, 30, 4.7, Embedded Systems Design, ESD501, Prof. Basnet, 2022
84, Lalitpur, 35, 4.2, Quantum Machine Learning, QML601, Dr. Tamang, 2023
85, Bhaktapur, 32, 4.6, Human-Computer Interaction, HCI701, Prof. Thapa, 2021
86, Kathmandu, 22, 4.3, Cyber-Physical Systems, CPS901, Dr. Lama, 2022
87, Kathmandu, 18, 4.2, Introduction to Data Science, DS101, Dr. Lama, 2023
88, Kathmandu, 23, 4.5, Python Programming for Beginners, PY201, Prof. Gurung, 2022
89, Pokhara, 28, 4.7, Data Analysis with Python, DA301, Dr. Thapa, 2021
90, Nepalgunj, 32, 4.0, Machine Learning Applications, ML401, Prof. Bhattarai, 2022
91, Biratnagar, 24, 4.8, Web Development with JavaScript, WD501, Dr. Subedi, 2023
92, Lalitpur, 26, 4.6, Introduction to Cybersecurity, CS601, Prof. Gautam, 2021
93, Bhaktapur, 29, 4.3, Deep Learning Fundamentals, DL701, Dr. Khadka, 2022
94, Kathmandu, 17, 4.6, Artificial Intelligence Ethics, AI801, Prof. Shrestha, 2023
95, Kathmandu, 22, 4.1, Natural Language Processing, NLP901, Dr. Joshi, 2021
96, Pokhara, 30, 4.9, Computer Vision Basics, CV1001, Prof. Acharya, 2022
97, Bhaktapur, 35, 4.4, Introduction to Blockchain, BC101, Dr. Shah, 2023
98, Biratnagar, 19, 4.7, Introduction to Cloud Computing, CC201, Prof. Basnet, 2021
99, Lalitpur, 21, 4.5, Data Mining Techniques, DM301, Dr. Tamang, 2022
100, Bhaktapur, 27, 4.2, Internet of Things Fundamentals, IoT401, Prof. Thapa, 2023
101, Kathmandu, 18, 4.2, Introduction to Data Science, DS101, Dr. Lama, 2023
102, Kathmandu, 23, 4.5, Python Programming for Beginners, PY201, Prof. Gurung, 2022
103, Pokhara, 28, 4.7, Data Analysis with Python, DA301, Dr. Thapa, 2021
104, Nepalgunj, 32, 4.0, Machine Learning Applications, ML401, Prof. Bhattarai, 2022
105, Biratnagar, 24, 4.8, Web Development with JavaScript, WD501, Dr. Subedi, 2023
106, Lalitpur, 26, 4.6, Introduction to Cybersecurity, CS601, Prof. Gautam, 2021
107, Bhaktapur, 29, 4.3, Deep Learning Fundamentals, DL701, Dr. Khadka, 2022
108, Kathmandu, 17, 4.6, Artificial Intelligence Ethics, AI801, Prof. Shrestha, 2023
109, Kathmandu, 22, 4.1, Natural Language Processing, NLP901, Dr. Joshi, 2021
110, Pokhara, 30, 4.9, Computer Vision Basics, CV1001, Prof. Acharya, 2022
111, Bhaktapur, 35, 4.4, Introduction to Blockchain, BC101, Dr. Shah, 2023
112, Biratnagar, 19, 4.7, Introduction to Cloud Computing, CC201, Prof. Basnet, 2021
113, Lalitpur, 21, 4.5, Data Mining Techniques, DM301, Dr. Tamang, 2022
114, Bhaktapur, 27, 4.2, Internet of Things Fundamentals, IoT401, Prof. Thapa, 2023
115, Kathmandu, 36, 4.8, Software Engineering Principles, SE501, Dr. Lama, 2021
116, Kathmandu, 37, 4.3, Big Data Analytics, BDA601, Prof. Gurung, 2022
117, Pokhara, 31, 4.6, Cloud Security Fundamentals, CSF701, Dr. Thapa, 2023
118, Bhaktapur, 38, 4.0, DevOps Essentials, DO901, Prof. Bhattarai, 2021
119, Biratnagar, 33, 4.5, UX/UI Design Principles, UXD101, Dr. Subedi, 2022
120, Lalitpur, 20, 4.2, Agile Methodologies, AM201, Prof. Gautam, 2023
121, Bhaktapur, 25, 4.7, Data Warehousing Concepts, DWC301, Dr. Khadka, 2021
122, Kathmandu, 28, 4.9, Ethical Hacking Techniques, EHT401, Prof. Shrestha, 2022
123, Pokhara, 34, 4.4, Mobile App Development, MAD501, Dr. Joshi, 2023
124, Lalitpur, 39, 4.8, Quantum Computing Fundamentals, QCF601, Prof. Acharya, 2021
125, Kathmandu, 16, 4.3, Robotics and Automation, RA701, Dr. Shah, 2022
126, Biratnagar, 24, 4.6, Introduction to 5G Technology, 5GT801, Prof. Basnet, 2023
127, Lalitpur, 29, 4.1, Game Development Basics, GDB901, Dr. Tamang, 2021
128, Bhaktapur, 31, 4.7, Virtual Reality Fundamentals, VRF101, Prof. Thapa, 2022
129, Kathmandu, 20, 4.5, Cryptocurrency Fundamentals, CF201, Dr. Lama, 2023
130, Kathmandu, 22, 4.2, Network Security Principles, NSP301, Prof. Gurung, 2021
131, Pokhara, 37, 4.9, Augmented Reality Applications, ARA401, Dr. Thapa, 2022
132, Bhaktapur, 38, 4.4, Data Science Capstone Project, DSC501, Prof. Bhattarai, 2023
133, Biratnagar, 19, 4.7, Cloud-Native Architecture, CNA601, Dr. Subedi, 2021
134, Lalitpur, 23, 4.3, Database Management Systems, DBMS701, Prof. Gautam, 2022
135, Bhaktapur, 25, 4.8, Parallel Computing Concepts, PCC901, Dr. Khadka, 2023
136, Kathmandu, 37, 4.0, Introduction to Quantum Cryptography, QC101, Prof. Shrestha, 2021
137, Kathmandu, 38, 4.5, Artificial Intelligence for Healthcare, AIH201, Dr. Joshi, 2022
